"AGE","SD","MAP","SAMPLE","Unit","HPD68.MIN","HPD68.MAX","HPD95.MIN","HPD95.MAX"
40.226,0.438,40.547,"109SQ10",1,39.9,40.667,39.397,41.005
37.026,0.594,38.942,"130SQ10",2,36.377,37.379,36.051,38.411
38.887,0.76,39.038,"170SQ10",3,38.271,39.822,37.418,40.248
39.789,0.709,39.362,"173SQ10",4,39.471,40.556,38.191,40.915
40.419,0.86,39.83,"HRS5-Q",5,39.882,40.709,39.071,41.74
40.795,1.44,40.279,"HRS5-F",6,39.756,40.82,39.075,44.048
42.237,0.547,41.869,"376SQ10",7,41.915,42.606,41.297,42.955
40.879,0.486,40.127,"388SQ10",8,40.369,41.347,39.977,41.833
41.281,0.514,40.947,"415SQ10",9,40.908,41.922,40.251,42.165
40.376,0.394,40.388,"445SQ10",10,40.007,40.755,39.599,41.125
41.312,0.999,41.341,"455SQ10",11,40.165,42.135,39.58,43.142
44.642,2.894,41.76,"HRS6-Q",12,41.677,45.57,41.328,50.638
43.611,2.348,42.315,"HRS6-F",13,41.572,43.682,41.328,48.827
