"AGE","SD","MAP","SAMPLE","Unit","HPD68.MIN","HPD68.MAX","HPD95.MIN","HPD95.MAX"
34.55,0.187,34.529,"118SQ12",1,34.409,34.747,34.194,34.908
34.429,0.319,34.618,"120SQ12",2,34.301,34.735,33.79,34.922
37.355,1.078,38.139,"HRS7-Q",3,36.692,38.525,34.511,38.944
36.944,1.419,39.164,"HRS7-F",4,36.332,38.857,34.281,38.878
34.785,0.606,34.391,"240SQ12",5,34.34,34.815,34.067,36.205
34.811,0.272,34.588,"241SQ12",6,34.486,35.012,34.365,35.342
35.697,0.484,35.639,"364SQ12",7,35.294,36.189,34.676,36.558
34.656,0.241,34.782,"386SQ12",8,34.413,34.808,34.25,35.181
35.019,0.335,34.807,"388SQ12",9,34.642,35.267,34.437,35.69
34.591,0.209,34.626,"390SQ12",10,34.407,34.761,34.162,35.023
35.318,0.393,35.855,"463SQ12",11,34.805,35.625,34.632,36.055
36.037,0.405,36.705,"492SQ12",12,35.616,36.386,35.306,36.831
37.16,0.698,36.957,"518SQ12",13,36.318,37.719,35.944,38.632
35.317,0.389,35.667,"609SQ12",14,34.829,35.65,34.642,36.062
37.752,0.708,38.086,"966HSD12_57DF",15,37.053,38.492,36.364,39.101
37.835,0.703,37.672,"967HSD12_57DF",16,37.106,38.524,36.425,39.166
37.888,0.702,38.081,"602GHM12_56EDG",17,37.2,38.614,36.562,39.307
38.016,0.722,39.683,"601GHM12_56EDG",18,37.283,38.733,36.63,39.444
38.138,0.75,38.732,"1059GHM12_57EDG",19,37.33,38.826,36.711,39.632
38.2,0.762,38.667,"633GHM12_56FG",20,37.38,38.906,36.727,39.689
39.254,0.899,39.398,"1089GHM12_57FC",21,38.522,40.331,37.395,40.857
38.84,0.915,40.1,"1111GHM12_57FC",22,37.919,39.835,37.085,40.533
39.599,0.754,38.919,"693GDB12_56GH",23,38.892,40.366,38.095,41.058
39.599,0.755,38.724,"723GHM12_56GH",24,38.924,40.398,38.126,41.1
39.771,0.71,39.785,"1246NS12_57GH",25,39.081,40.481,38.378,41.145
39.757,0.71,39.12,"1276EMC12_57GH",26,39.066,40.467,38.355,41.128
39.721,0.712,39.983,"809DGB12_56GH",27,39.027,40.428,38.365,41.145
39.914,0.748,40.657,"929GHM12_56HW",28,39.126,40.598,38.464,41.39
40.205,0.851,39.914,"989GDB12_56HW",29,39.275,40.986,38.597,41.881
41.301,1.433,40.464,"1546GHM12_57HW",30,39.581,42.502,38.771,44.007
41.252,1.212,42.739,"1191GDB12_56HW",31,39.966,42.404,38.908,43.545
41.186,1.389,43.848,"1189GDB12_56HW",32,39.551,42.366,38.744,43.847
42.633,1.422,45.332,"1612GDB12_57KM",33,41.417,44.168,39.685,45.31
43.091,1.338,43.538,"1636GDB12_57LM",34,41.837,44.297,40.55,45.608
43.615,1.664,44.883,"1647GDB12_57_1M",35,41.843,44.784,40.53,46.908
47.138,3.126,46.489,"HS1443SQ12_56JP",36,43.266,48.795,42.216,53.876
47.272,2.981,45.159,"HS1484SQ12_56JP",37,43.641,48.772,42.538,53.849
46.008,2.969,43.249,"HS1513SQ12_56JP",38,42.496,47.278,41.373,52.608
52.249,4.135,57.279,"HS1578SQ12_56KL",39,47.103,56.318,45.727,59.997
52.554,3.911,55.001,"HS1603SQ12_56KL",40,47.617,56.326,46.467,59.992
